order_book_id,symbol,abbrev_symbol,round_lot,sector_code,sector_code_name,industry_code,industry_name,listed_date,issue_price,de_listed_date,type,exchange,board_type,status,special_type,trading_hours,market_tplus
603272.XSHG,联翔股份,LXGF,100,ConsumerDiscretionary,非必须消费品,C24,文教、工美、体育和娱乐用品制造业,2022-05-20,13.64,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603277.XSHG,银都股份,YDGF,100,ConsumerDiscretionary,非必须消费品,C34,通用设备制造业,2017-09-11,12.37,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603278.XSHG,大业股份,DYGF,100,Materials,原材料,C33,金属制品业,2017-11-13,15.31,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603279.XSHG,景津装备,JJZB,100,Industrials,工业,C34,通用设备制造业,2019-07-29,13.56,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603280.XSHG,南方路机,NFLJ,100,Industrials,工业,C35,专用设备制造业,2022-11-08,23.75,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603283.XSHG,赛腾股份,STGF,100,Industrials,工业,C35,专用设备制造业,2017-12-25,6.9,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603286.XSHG,日盈电子,RYDZ,100,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2017-06-27,7.93,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603288.XSHG,海天味业,HTWY,100,ConsumerStaples,必需消费品,C14,食品制造业,2014-02-11,51.25,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603289.XSHG,泰瑞机器,TRJQ,100,Industrials,工业,C35,专用设备制造业,2017-10-31,7.83,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603290.XSHG,斯达半导,SDBD,100,InformationTechnology,信息技术,C39,计算机、通信和其他电子设备制造业,2020-02-04,12.74,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603297.XSHG,永新光学,YXGX,100,InformationTechnology,信息技术,C40,仪器仪表制造业,2018-09-10,25.87,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603298.XSHG,杭叉集团,HCJT,100,Industrials,工业,C34,通用设备制造业,2016-12-27,12.67,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603299.XSHG,苏盐井神,SYJS,100,Materials,原材料,C14,食品制造业,2015-12-31,3.69,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603300.XSHG,华铁应急,HTYJ,100,Industrials,工业,L71,租赁业,2015-05-29,8.22,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603301.XSHG,振德医疗,ZDYL,100,HealthCare,医疗保健,C35,专用设备制造业,2018-04-12,19.82,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603303.XSHG,得邦照明,DBZM,100,InformationTechnology,信息技术,C38,电气机械和器材制造业,2017-03-30,18.63,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603305.XSHG,旭升集团,XSJT,100,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2017-07-10,11.26,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603306.XSHG,华懋科技,HMKJ,100,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2014-09-26,12.08,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603308.XSHG,应流股份,YLGF,100,Industrials,工业,C35,专用设备制造业,2014-01-22,8.28,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603309.XSHG,维力医疗,WLYL,100,HealthCare,医疗保健,C35,专用设备制造业,2015-03-02,15.4,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603311.XSHG,金海高科,JHGK,100,Industrials,工业,C35,专用设备制造业,2015-05-18,5.39,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603313.XSHG,梦百合,MBH,100,ConsumerDiscretionary,非必须消费品,C21,家具制造业,2016-10-13,15.41,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
